"replicate";"Species";"Abundance";"Time";"Island"
2;"ACAPOL";0;"Current";"TRE"
2;"ACAQUA";0;"Current";"TRE"
2;"AHLEGM";0;"Current";"TRE"
2;"ALPAFE";0;"Current";"TRE"
2;"AMBPIN";0;"Current";"TRE"
2;"ANISUR";0;"Current";"TRE"
2;"ANIVIR";0;"Current";"TRE"
2;"AULSTR";0;"Current";"TRE"
2;"AZUMUL";0;"Current";"TRE"
2;"BALVET";0;"Current";"TRE"
2;"BODPUL";0;"Current";"TRE"
2;"BODRUF";0;"Current";"TRE"
2;"CALPEN";0;"Current";"TRE"
2;"CANFIG";0;"Current";"TRE"
2;"CANMAC";0;"Current";"TRE"
2;"CANPUL";3;"Current";"TRE"
2;"CARBAR";0;"Current";"TRE"
2;"CARCRY";0;"Current";"TRE"
2;"CARLAT";0;"Current";"TRE"
2;"CARRUB";0;"Current";"TRE"
2;"CEPFUL";0;"Current";"TRE"
2;"CHAFAB";0;"Current";"TRE"
2;"CHASED";0;"Current";"TRE"
2;"CHASTR";1;"Current";"TRE"
2;"CHIRET";0;"Current";"TRE"
2;"CHISPI";0;"Current";"TRE"
2;"CHRJUB";0;"Current";"TRE"
2;"CLEBRA";0;"Current";"TRE"
2;"CORSPP";0;"Current";"TRE"
2;"CORGLA";0;"Current";"TRE"
2;"CORTHR";0;"Current";"TRE"
2;"CRYROS";0;"Current";"TRE"
2;"CTESAE";0;"Current";"TRE"
2;"DACVOL";0;"Current";"TRE"
2;"DERINE";0;"Current";"TRE"
2;"DIOHOL";0;"Current";"TRE"
2;"DIOHYS";0;"Current";"TRE"
2;"DIPARG";0;"Current";"TRE"
2;"DIPRAD";0;"Current";"TRE"
2;"DULAUR";0;"Current";"TRE"
2;"ELAFIG";0;"Current";"TRE"
2;"FISSPP";0;"Current";"TRE"
2;"GOBKAL";0;"Current";"TRE"
2;"GRABRA";0;"Current";"TRE"
2;"GYMFUN";0;"Current";"TRE"
2;"GYMMIL";0;"Current";"TRE"
2;"GYMMOR";1;"Current";"TRE"
2;"GYMVIC";0;"Current";"TRE"
2;"HAEATL";0;"Current";"TRE"
2;"HAEAUR";10;"Current";"TRE"
2;"HAEPAR";0;"Current";"TRE"
2;"HAEPLU";1;"Current";"TRE"
2;"HALBRA";1;"Current";"TRE"
2;"HALDIM";0;"Current";"TRE"
2;"HALPEN";0;"Current";"TRE"
2;"HALPOE";7;"Current";"TRE"
2;"HALSPP";0;"Current";"TRE"
2;"HETCRU";0;"Current";"TRE"
2;"HOLADS";0;"Current";"TRE"
2;"HOLCIL";0;"Current";"TRE"
2;"HOLTRI";0;"Current";"TRE"
2;"HYPFIS";0;"Current";"TRE"
2;"KYPSPP";0;"Current";"TRE"
2;"LABCRI";0;"Current";"TRE"
2;"LABNUC";0;"Current";"TRE"
2;"LUTALE";0;"Current";"TRE"
2;"LUTJOC";0;"Current";"TRE"
2;"MALDEL";0;"Current";"TRE"
2;"MALMAC";0;"Current";"TRE"
2;"MALZAL";3;"Current";"TRE"
2;"MICCHR";0;"Current";"TRE"
2;"MYRJAC";0;"Current";"TRE"
2;"OCYCHR";0;"Current";"TRE"
2;"ODODEN";0;"Current";"TRE"
2;"OPHTRI";0;"Current";"TRE"
2;"OPIAUR";0;"Current";"TRE"
2;"ORTRUB";0;"Current";"TRE"
2;"PAGPAG";0;"Current";"TRE"
2;"PARFUR";0;"Current";"TRE"
2;"PARLIN";1;"Current";"TRE"
2;"PARMAR";0;"Current";"TRE"
2;"PARMOR";0;"Current";"TRE"
2;"PARPIL";0;"Current";"TRE"
2;"PEMSCH";0;"Current";"TRE"
2;"POMARC";0;"Current";"TRE"
2;"POMPAR";2;"Current";"TRE"
2;"PRIARE";0;"Current";"TRE"
2;"PSEMAC";6;"Current";"TRE"
2;"PSEPER";0;"Current";"TRE"
2;"PTERAN";0;"Current";"TRE"
2;"RYPSAP";0;"Current";"TRE"
2;"SCATRI";0;"Current";"TRE"
2;"SCAZEL";0;"Current";"TRE"
2;"SCOBRA";0;"Current";"TRE"
2;"SCOIST";0;"Current";"TRE"
2;"SCOPLU";0;"Current";"TRE"
2;"SELSET";0;"Current";"TRE"
2;"SERBAL";0;"Current";"TRE"
2;"SERFLA";0;"Current";"TRE"
2;"SPAAMP";0;"Current";"TRE"
2;"SPAAXI";0;"Current";"TRE"
2;"SPAFRO";0;"Current";"TRE"
2;"SPASPP";0;"Current";"TRE"
2;"SPATUI";0;"Current";"TRE"
2;"SPHSPE";0;"Current";"TRE"
2;"SPHSPP";0;"Current";"TRE"
2;"STEFUS";7;"Current";"TRE"
2;"STEHIS";0;"Current";"TRE"
2;"STEPIC";0;"Current";"TRE"
2;"STEVAR";10;"Current";"TRE"
2;"SYNINT";0;"Current";"TRE"
2;"SYNSPP";0;"Current";"TRE"
2;"SYNSYN";0;"Current";"TRE"
2;"THANOR";0;"Current";"TRE"
3;"ABUSAX";0;"Current";"TRE"
3;"ACABAH";3;"Current";"TRE"
3;"ACACHI";0;"Current";"TRE"
3;"ACACOE";0;"Current";"TRE"
3;"ACAPOL";0;"Current";"TRE"
3;"ACAQUA";0;"Current";"TRE"
3;"AHLEGM";0;"Current";"TRE"
3;"ALPAFE";0;"Current";"TRE"
3;"AMBPIN";0;"Current";"TRE"
3;"ANISUR";0;"Current";"TRE"
3;"ANIVIR";0;"Current";"TRE"
3;"AULSTR";0;"Current";"TRE"
3;"AZUMUL";0;"Current";"TRE"
3;"BALVET";0;"Current";"TRE"
3;"BODPUL";0;"Current";"TRE"
3;"BODRUF";0;"Current";"TRE"
3;"CALPEN";0;"Current";"TRE"
3;"CANFIG";0;"Current";"TRE"
3;"CANMAC";0;"Current";"TRE"
3;"CANPUL";0;"Current";"TRE"
3;"CARBAR";0;"Current";"TRE"
3;"CARCRY";0;"Current";"TRE"
3;"CARLAT";0;"Current";"TRE"
3;"CARRUB";0;"Current";"TRE"
3;"CEPFUL";0;"Current";"TRE"
3;"CHAFAB";0;"Current";"TRE"
3;"CHASED";0;"Current";"TRE"
3;"CHASTR";0;"Current";"TRE"
3;"CHIRET";0;"Current";"TRE"
3;"CHISPI";0;"Current";"TRE"
3;"CHRJUB";0;"Current";"TRE"
3;"CLEBRA";0;"Current";"TRE"
3;"CORSPP";0;"Current";"TRE"
3;"CORGLA";0;"Current";"TRE"
3;"CORTHR";0;"Current";"TRE"
3;"CRYROS";0;"Current";"TRE"
3;"CTESAE";0;"Current";"TRE"
3;"DACVOL";0;"Current";"TRE"
3;"DERINE";0;"Current";"TRE"
3;"DIOHOL";0;"Current";"TRE"
3;"DIOHYS";0;"Current";"TRE"
3;"DIPARG";0;"Current";"TRE"
3;"DIPRAD";0;"Current";"TRE"
3;"DULAUR";0;"Current";"TRE"
3;"ELAFIG";0;"Current";"TRE"
3;"FISSPP";0;"Current";"TRE"
3;"GOBKAL";0;"Current";"TRE"
3;"GRABRA";0;"Current";"TRE"
3;"GYMFUN";0;"Current";"TRE"
3;"GYMMIL";0;"Current";"TRE"
3;"GYMMOR";0;"Current";"TRE"
3;"GYMVIC";0;"Current";"TRE"
3;"HAEATL";0;"Current";"TRE"
3;"HAEAUR";11;"Current";"TRE"
3;"HAEPAR";0;"Current";"TRE"
3;"HAEPLU";0;"Current";"TRE"
3;"HALBRA";2;"Current";"TRE"
3;"HALDIM";0;"Current";"TRE"
3;"HALPEN";0;"Current";"TRE"
3;"HALPOE";0;"Current";"TRE"
3;"HALSPP";0;"Current";"TRE"
3;"HETCRU";0;"Current";"TRE"
3;"HOLADS";0;"Current";"TRE"
3;"HOLCIL";0;"Current";"TRE"
3;"HOLTRI";0;"Current";"TRE"
3;"HYPFIS";0;"Current";"TRE"
3;"KYPSPP";0;"Current";"TRE"
3;"LABCRI";0;"Current";"TRE"
3;"LABNUC";0;"Current";"TRE"
3;"LUTALE";0;"Current";"TRE"
3;"LUTJOC";0;"Current";"TRE"
3;"MALDEL";0;"Current";"TRE"
3;"MALMAC";0;"Current";"TRE"
3;"MALZAL";0;"Current";"TRE"
3;"MICCHR";0;"Current";"TRE"
3;"MYRJAC";0;"Current";"TRE"
3;"OCYCHR";0;"Current";"TRE"
3;"ODODEN";0;"Current";"TRE"
3;"OPHTRI";0;"Current";"TRE"
3;"OPIAUR";0;"Current";"TRE"
3;"ORTRUB";0;"Current";"TRE"
3;"PAGPAG";0;"Current";"TRE"
3;"PARFUR";0;"Current";"TRE"
3;"PARLIN";1;"Current";"TRE"
3;"PARMAR";0;"Current";"TRE"
3;"PARMOR";0;"Current";"TRE"
3;"PARPIL";0;"Current";"TRE"
3;"PEMSCH";0;"Current";"TRE"
3;"POMARC";0;"Current";"TRE"
3;"POMPAR";1;"Current";"TRE"
3;"PRIARE";0;"Current";"TRE"
3;"PSEMAC";1;"Current";"TRE"
3;"PSEPER";0;"Current";"TRE"
3;"PTERAN";0;"Current";"TRE"
3;"RYPSAP";0;"Current";"TRE"
3;"SCATRI";0;"Current";"TRE"
3;"SCAZEL";0;"Current";"TRE"
3;"SCOBRA";0;"Current";"TRE"
3;"SCOIST";0;"Current";"TRE"
3;"SCOPLU";0;"Current";"TRE"
3;"SELSET";0;"Current";"TRE"
3;"SERBAL";0;"Current";"TRE"
3;"SERFLA";0;"Current";"TRE"
3;"SPAAMP";0;"Current";"TRE"
3;"SPAAXI";0;"Current";"TRE"
3;"SPAFRO";0;"Current";"TRE"
3;"SPASPP";0;"Current";"TRE"
3;"SPATUI";0;"Current";"TRE"
3;"SPHSPE";0;"Current";"TRE"
3;"SPHSPP";1;"Current";"TRE"
3;"STEFUS";28;"Current";"TRE"
3;"STEHIS";0;"Current";"TRE"
3;"STEPIC";0;"Current";"TRE"
3;"STEVAR";18;"Current";"TRE"
3;"SYNINT";0;"Current";"TRE"
3;"SYNSPP";0;"Current";"TRE"
3;"SYNSYN";0;"Current";"TRE"
3;"THANOR";0;"Current";"TRE"
4;"ABUSAX";0;"Current";"TRE"
4;"ACABAH";8;"Current";"TRE"
4;"ACACHI";0;"Current";"TRE"
4;"ACACOE";0;"Current";"TRE"
4;"ACAPOL";0;"Current";"TRE"
4;"ACAQUA";0;"Current";"TRE"
4;"AHLEGM";0;"Current";"TRE"
4;"ALPAFE";0;"Current";"TRE"
4;"AMBPIN";0;"Current";"TRE"
4;"ANISUR";0;"Current";"TRE"
4;"ANIVIR";0;"Current";"TRE"
4;"AULSTR";0;"Current";"TRE"
4;"AZUMUL";0;"Current";"TRE"
4;"BALVET";0;"Current";"TRE"
4;"BODPUL";0;"Current";"TRE"
4;"BODRUF";0;"Current";"TRE"
4;"CALPEN";0;"Current";"TRE"
4;"CANFIG";0;"Current";"TRE"
4;"CANMAC";0;"Current";"TRE"
4;"CANPUL";0;"Current";"TRE"
4;"CARBAR";0;"Current";"TRE"
4;"CARCRY";0;"Current";"TRE"
4;"CARLAT";0;"Current";"TRE"
4;"CARRUB";0;"Current";"TRE"
4;"CEPFUL";0;"Current";"TRE"
4;"CHAFAB";0;"Current";"TRE"
4;"CHASED";0;"Current";"TRE"
4;"CHASTR";0;"Current";"TRE"
4;"CHIRET";0;"Current";"TRE"
4;"CHISPI";0;"Current";"TRE"
4;"CHRJUB";0;"Current";"TRE"
4;"CLEBRA";0;"Current";"TRE"
4;"CORSPP";0;"Current";"TRE"
4;"CORGLA";0;"Current";"TRE"
4;"CORTHR";0;"Current";"TRE"
4;"CRYROS";0;"Current";"TRE"
4;"CTESAE";0;"Current";"TRE"
4;"DACVOL";0;"Current";"TRE"
4;"DERINE";0;"Current";"TRE"
4;"DIOHOL";0;"Current";"TRE"
4;"DIOHYS";0;"Current";"TRE"
4;"DIPARG";0;"Current";"TRE"
4;"DIPRAD";0;"Current";"TRE"
4;"DULAUR";0;"Current";"TRE"
4;"ELAFIG";0;"Current";"TRE"
4;"FISSPP";0;"Current";"TRE"
4;"GOBKAL";0;"Current";"TRE"
4;"GRABRA";0;"Current";"TRE"
4;"GYMFUN";0;"Current";"TRE"
4;"GYMMIL";0;"Current";"TRE"
4;"GYMMOR";1;"Current";"TRE"
4;"GYMVIC";0;"Current";"TRE"
4;"HAEATL";0;"Current";"TRE"
4;"HAEAUR";6;"Current";"TRE"
4;"HAEPAR";0;"Current";"TRE"
4;"HAEPLU";0;"Current";"TRE"
4;"HALBRA";0;"Current";"TRE"
4;"HALDIM";0;"Current";"TRE"
4;"HALPEN";0;"Current";"TRE"
4;"HALPOE";0;"Current";"TRE"
4;"HALSPP";0;"Current";"TRE"
4;"HETCRU";0;"Current";"TRE"
4;"HOLADS";0;"Current";"TRE"
4;"HOLCIL";0;"Current";"TRE"
4;"HOLTRI";0;"Current";"TRE"
4;"HYPFIS";0;"Current";"TRE"
4;"KYPSPP";0;"Current";"TRE"
4;"LABCRI";0;"Current";"TRE"
4;"LABNUC";0;"Current";"TRE"
4;"LUTALE";0;"Current";"TRE"
4;"LUTJOC";0;"Current";"TRE"
4;"MALDEL";0;"Current";"TRE"
4;"MALMAC";0;"Current";"TRE"
4;"MALZAL";3;"Current";"TRE"
4;"MICCHR";0;"Current";"TRE"
4;"MYRJAC";0;"Current";"TRE"
4;"OCYCHR";0;"Current";"TRE"
4;"ODODEN";0;"Current";"TRE"
4;"OPHTRI";0;"Current";"TRE"
4;"OPIAUR";0;"Current";"TRE"
4;"ORTRUB";0;"Current";"TRE"
4;"PAGPAG";0;"Current";"TRE"
4;"PARFUR";0;"Current";"TRE"
4;"PARLIN";0;"Current";"TRE"
4;"PARMAR";0;"Current";"TRE"
4;"PARMOR";0;"Current";"TRE"
4;"PARPIL";0;"Current";"TRE"
4;"PEMSCH";0;"Current";"TRE"
4;"POMARC";0;"Current";"TRE"
4;"POMPAR";0;"Current";"TRE"
4;"PRIARE";0;"Current";"TRE"
4;"PSEMAC";6;"Current";"TRE"
4;"PSEPER";0;"Current";"TRE"
4;"PTERAN";0;"Current";"TRE"
4;"RYPSAP";0;"Current";"TRE"
4;"SCATRI";0;"Current";"TRE"
4;"SCAZEL";0;"Current";"TRE"
4;"SCOBRA";0;"Current";"TRE"
4;"SCOIST";0;"Current";"TRE"
4;"SCOPLU";0;"Current";"TRE"
4;"SELSET";0;"Current";"TRE"
4;"SERBAL";0;"Current";"TRE"
4;"SERFLA";1;"Current";"TRE"
4;"SPAAMP";0;"Current";"TRE"
4;"SPAAXI";0;"Current";"TRE"
4;"SPAFRO";0;"Current";"TRE"
4;"SPASPP";1;"Current";"TRE"
4;"SPATUI";0;"Current";"TRE"
4;"SPHSPE";0;"Current";"TRE"
4;"SPHSPP";0;"Current";"TRE"
4;"STEFUS";12;"Current";"TRE"
4;"STEHIS";0;"Current";"TRE"
4;"STEPIC";0;"Current";"TRE"
4;"STEVAR";3;"Current";"TRE"
4;"SYNINT";0;"Current";"TRE"
4;"SYNSPP";0;"Current";"TRE"
4;"SYNSYN";0;"Current";"TRE"
4;"THANOR";0;"Current";"TRE"
5;"ABUSAX";1;"Current";"TRE"
5;"ACABAH";0;"Current";"TRE"
5;"ACACHI";0;"Current";"TRE"
5;"ACACOE";0;"Current";"TRE"
5;"ACAPOL";0;"Current";"TRE"
5;"ACAQUA";0;"Current";"TRE"
5;"AHLEGM";0;"Current";"TRE"
5;"ALPAFE";0;"Current";"TRE"
5;"AMBPIN";0;"Current";"TRE"
5;"ANISUR";0;"Current";"TRE"
5;"ANIVIR";1;"Current";"TRE"
5;"AULSTR";0;"Current";"TRE"
5;"AZUMUL";0;"Current";"TRE"
5;"BALVET";0;"Current";"TRE"
5;"BODPUL";0;"Current";"TRE"
5;"BODRUF";0;"Current";"TRE"
5;"CALPEN";0;"Current";"TRE"
5;"CANFIG";0;"Current";"TRE"
5;"CANMAC";0;"Current";"TRE"
5;"CANPUL";0;"Current";"TRE"
5;"CARBAR";0;"Current";"TRE"
5;"CARCRY";0;"Current";"TRE"
5;"CARLAT";0;"Current";"TRE"
5;"CARRUB";0;"Current";"TRE"
5;"CEPFUL";0;"Current";"TRE"
5;"CHAFAB";0;"Current";"TRE"
5;"CHASED";1;"Current";"TRE"
5;"CHASTR";4;"Current";"TRE"
5;"CHIRET";0;"Current";"TRE"
5;"CHISPI";0;"Current";"TRE"
5;"CHRJUB";0;"Current";"TRE"
5;"CLEBRA";0;"Current";"TRE"
5;"CORSPP";0;"Current";"TRE"
5;"CORGLA";0;"Current";"TRE"
5;"CORTHR";0;"Current";"TRE"
5;"CRYROS";0;"Current";"TRE"
5;"CTESAE";0;"Current";"TRE"
5;"DACVOL";0;"Current";"TRE"
5;"DERINE";0;"Current";"TRE"
5;"DIOHOL";0;"Current";"TRE"
5;"DIOHYS";0;"Current";"TRE"
5;"DIPARG";0;"Current";"TRE"
5;"DIPRAD";0;"Current";"TRE"
5;"DULAUR";0;"Current";"TRE"
5;"ELAFIG";0;"Current";"TRE"
5;"FISSPP";0;"Current";"TRE"
5;"GOBKAL";0;"Current";"TRE"
5;"GRABRA";0;"Current";"TRE"
5;"GYMFUN";0;"Current";"TRE"
5;"GYMMIL";0;"Current";"TRE"
5;"GYMMOR";1;"Current";"TRE"
5;"GYMVIC";0;"Current";"TRE"
5;"HAEATL";0;"Current";"TRE"
5;"HAEAUR";30;"Current";"TRE"
5;"HAEPAR";0;"Current";"TRE"
5;"HAEPLU";4;"Current";"TRE"
5;"HALBRA";0;"Current";"TRE"
5;"HALDIM";0;"Current";"TRE"
5;"HALPEN";0;"Current";"TRE"
5;"HALPOE";7;"Current";"TRE"
5;"HALSPP";0;"Current";"TRE"
5;"HETCRU";0;"Current";"TRE"
5;"HOLADS";0;"Current";"TRE"
5;"HOLCIL";0;"Current";"TRE"
5;"HOLTRI";0;"Current";"TRE"
5;"HYPFIS";0;"Current";"TRE"
5;"KYPSPP";0;"Current";"TRE"
5;"LABCRI";2;"Current";"TRE"
5;"LABNUC";1;"Current";"TRE"
5;"LUTALE";0;"Current";"TRE"
5;"LUTJOC";0;"Current";"TRE"
5;"MALDEL";0;"Current";"TRE"
5;"MALMAC";0;"Current";"TRE"
5;"MALZAL";1;"Current";"TRE"
5;"MICCHR";0;"Current";"TRE"
5;"MYRJAC";0;"Current";"TRE"
5;"OCYCHR";0;"Current";"TRE"
5;"ODODEN";0;"Current";"TRE"
5;"OPHTRI";0;"Current";"TRE"
5;"OPIAUR";0;"Current";"TRE"
5;"ORTRUB";0;"Current";"TRE"
5;"PAGPAG";0;"Current";"TRE"
5;"PARFUR";0;"Current";"TRE"
5;"PARLIN";4;"Current";"TRE"
5;"PARMAR";0;"Current";"TRE"
5;"PARMOR";1;"Current";"TRE"
5;"PARPIL";0;"Current";"TRE"
5;"PEMSCH";0;"Current";"TRE"
5;"POMARC";0;"Current";"TRE"
5;"POMPAR";0;"Current";"TRE"
5;"PRIARE";0;"Current";"TRE"
5;"PSEMAC";0;"Current";"TRE"
5;"PSEPER";0;"Current";"TRE"
5;"PTERAN";0;"Current";"TRE"
5;"RYPSAP";0;"Current";"TRE"
5;"SCATRI";0;"Current";"TRE"
5;"SCAZEL";0;"Current";"TRE"
5;"SCOBRA";0;"Current";"TRE"
5;"SCOIST";0;"Current";"TRE"
5;"SCOPLU";0;"Current";"TRE"
5;"SELSET";0;"Current";"TRE"
5;"SERBAL";0;"Current";"TRE"
5;"SERFLA";0;"Current";"TRE"
5;"SPAAMP";0;"Current";"TRE"
5;"SPAAXI";0;"Current";"TRE"
5;"SPAFRO";0;"Current";"TRE"
5;"SPASPP";0;"Current";"TRE"
5;"SPATUI";0;"Current";"TRE"
5;"SPHSPE";0;"Current";"TRE"
5;"SPHSPP";0;"Current";"TRE"
5;"STEFUS";20;"Current";"TRE"
5;"STEHIS";0;"Current";"TRE"
5;"STEPIC";0;"Current";"TRE"
5;"STEVAR";0;"Current";"TRE"
5;"SYNINT";0;"Current";"TRE"
5;"SYNSPP";0;"Current";"TRE"
5;"SYNSYN";0;"Current";"TRE"
5;"THANOR";0;"Current";"TRE"
6;"ABUSAX";0;"Current";"TRE"
6;"ACABAH";1;"Current";"TRE"
6;"ACACHI";0;"Current";"TRE"
6;"ACACOE";0;"Current";"TRE"
6;"ACAPOL";0;"Current";"TRE"
6;"ACAQUA";0;"Current";"TRE"
6;"AHLEGM";0;"Current";"TRE"
6;"ALPAFE";0;"Current";"TRE"
6;"AMBPIN";0;"Current";"TRE"
6;"ANISUR";0;"Current";"TRE"
6;"ANIVIR";0;"Current";"TRE"
6;"AULSTR";0;"Current";"TRE"
6;"AZUMUL";0;"Current";"TRE"
6;"BALVET";0;"Current";"TRE"
6;"BODPUL";0;"Current";"TRE"
6;"BODRUF";0;"Current";"TRE"
6;"CALPEN";0;"Current";"TRE"
6;"CANFIG";0;"Current";"TRE"
6;"CANMAC";0;"Current";"TRE"
6;"CANPUL";0;"Current";"TRE"
6;"CARBAR";0;"Current";"TRE"
6;"CARCRY";0;"Current";"TRE"
6;"CARLAT";0;"Current";"TRE"
6;"CARRUB";0;"Current";"TRE"
6;"CEPFUL";0;"Current";"TRE"
6;"CHAFAB";0;"Current";"TRE"
6;"CHASED";0;"Current";"TRE"
6;"CHASTR";0;"Current";"TRE"
6;"CHIRET";0;"Current";"TRE"
6;"CHISPI";0;"Current";"TRE"
6;"CHRJUB";0;"Current";"TRE"
6;"CLEBRA";0;"Current";"TRE"
6;"CORSPP";0;"Current";"TRE"
6;"CORGLA";0;"Current";"TRE"
6;"CORTHR";0;"Current";"TRE"
6;"CRYROS";0;"Current";"TRE"
6;"CTESAE";0;"Current";"TRE"
6;"DACVOL";0;"Current";"TRE"
6;"DERINE";0;"Current";"TRE"
6;"DIOHOL";0;"Current";"TRE"
6;"DIOHYS";0;"Current";"TRE"
6;"DIPARG";0;"Current";"TRE"
6;"DIPRAD";0;"Current";"TRE"
6;"DULAUR";0;"Current";"TRE"
6;"ELAFIG";0;"Current";"TRE"
6;"FISSPP";0;"Current";"TRE"
6;"GOBKAL";0;"Current";"TRE"
6;"GRABRA";0;"Current";"TRE"
6;"GYMFUN";0;"Current";"TRE"
6;"GYMMIL";0;"Current";"TRE"
6;"GYMMOR";0;"Current";"TRE"
6;"GYMVIC";0;"Current";"TRE"
6;"HAEATL";0;"Current";"TRE"
6;"HAEAUR";0;"Current";"TRE"
6;"HAEPAR";0;"Current";"TRE"
6;"HAEPLU";0;"Current";"TRE"
6;"HALBRA";2;"Current";"TRE"
6;"HALDIM";0;"Current";"TRE"
6;"HALPEN";0;"Current";"TRE"
6;"HALPOE";0;"Current";"TRE"
6;"HALSPP";0;"Current";"TRE"
6;"HETCRU";0;"Current";"TRE"
6;"HOLADS";0;"Current";"TRE"
